campaign,comparison_arm,kem_level,variant,variant_name,model,target_prr,mean_bad_burst,p_gb,p_bg,forced_loss,number_of_runs,client_evaluated_runs,evaluated_runs,successful_runs,success_rate,targeted_test_reached_runs,targeted_test_reached_rate,precondition_not_reached_runs,precondition_not_reached_rate,invalid_targeted_runs,mean_latency_success,median_latency_success,mean_application_retries,mean_selective_retransmissions,mean_rfrag_retransmissions,mean_rfrag_rto_expired,mean_rfrag_null_ack_rx,mean_rfrag_partial_ack_rx,mean_rfrag_ack_tx,mean_fragments_tx,forced_loss_applied_rate
A_B1_VS_B2,B2,1024,2,B2_RFRAG_FINAL_ACK,gilbert,0.85,10.0,0.0176470588,0.1,none,30,30,30,15,0.5,,,,,,1952.7333333333333,1015.0,0.0,0.5172413793103449,1.2413793103448276,0.8275862068965517,0.06896551724137931,0.1724137931034483,1.4827586206896552,22.93103448275862,
A_B1_VS_B2,B2,1024,2,B2_RFRAG_FINAL_ACK,gilbert,0.85,2.0,0.0882352941,0.5,none,30,30,30,10,0.3333333333333333,,,,,,2577.8,1292.5,0.0,1.6551724137931034,2.4482758620689653,0.896551724137931,0.06896551724137931,0.5517241379310345,1.6896551724137931,17.103448275862068,
A_B1_VS_B2,B2,1024,2,B2_RFRAG_FINAL_ACK,gilbert,0.85,5.0,0.0352941176,0.2,none,30,30,30,11,0.36666666666666664,,,,,,3356.909090909091,1144.0,0.0,1.4666666666666666,2.3666666666666667,1.0333333333333334,0.1,0.43333333333333335,1.6666666666666667,21.066666666666666,
A_B1_VS_B2,B2,1024,2,B2_RFRAG_FINAL_ACK,gilbert,0.9,10.0,0.0111111111,0.1,none,30,30,30,17,0.5666666666666667,,,,,,1405.4117647058824,1005.0,0.0,0.41379310344827586,1.0,0.7241379310344828,0.034482758620689655,0.13793103448275862,1.4827586206896552,25.03448275862069,
A_B1_VS_B2,B2,1024,2,B2_RFRAG_FINAL_ACK,gilbert,0.9,2.0,0.0555555556,0.5,none,30,30,30,17,0.5666666666666667,,,,,,2044.764705882353,1101.0,0.0,1.7333333333333334,2.3333333333333335,0.6,0.06666666666666667,0.7333333333333333,2.3666666666666667,23.3,
A_B1_VS_B2,B2,1024,2,B2_RFRAG_FINAL_ACK,gilbert,0.9,5.0,0.0222222222,0.2,none,30,30,30,16,0.5333333333333333,,,,,,1972.9375,1018.5,0.0,1.1333333333333333,1.7,0.6666666666666666,0.03333333333333333,0.36666666666666664,1.7,23.233333333333334,
A_B1_VS_B2,B2,1024,2,B2_RFRAG_FINAL_ACK,gilbert,0.95,10.0,0.0052631579,0.1,none,30,30,30,20,0.6666666666666666,,,,,,1039.8,1007.0,0.0,0.2857142857142857,0.6785714285714286,0.5,0.03571428571428571,0.07142857142857142,1.5357142857142858,26.785714285714285,
A_B1_VS_B2,B2,1024,2,B2_RFRAG_FINAL_ACK,gilbert,0.95,2.0,0.0263157895,0.5,none,30,30,30,18,0.6,,,,,,1424.0,1028.5,0.0,0.9,1.0333333333333334,0.13333333333333333,0.1,0.4666666666666667,1.8333333333333333,23.7,
A_B1_VS_B2,B2,1024,2,B2_RFRAG_FINAL_ACK,gilbert,0.95,5.0,0.0105263158,0.2,none,30,30,30,19,0.6333333333333333,,,,,,1372.6842105263158,1009.0,0.0,0.6666666666666666,1.0666666666666667,0.4666666666666667,0.06666666666666667,0.23333333333333334,1.7666666666666666,26.566666666666666,
A_B1_VS_B2,B2,512,2,B2_RFRAG_FINAL_ACK,fixed,0.5,,,,none,30,30,30,9,0.3,,,,,,2006.4444444444443,1632.0,0.0,0.7241379310344828,1.1724137931034482,0.4482758620689655,0.10344827586206896,0.4827586206896552,1.4482758620689655,7.379310344827586,
A_B1_VS_B2,B2,512,2,B2_RFRAG_FINAL_ACK,fixed,0.85,,,,none,30,30,30,20,0.6666666666666666,,,,,,705.35,551.5,0.0,0.36666666666666664,0.4666666666666667,0.1,0.0,0.3333333333333333,1.7333333333333334,12.466666666666667,
A_B1_VS_B2,B2,512,2,B2_RFRAG_FINAL_ACK,fixed,0.9,,,,none,30,30,30,22,0.7333333333333333,,,,,,545.0,531.5,0.0,0.16666666666666666,0.16666666666666666,0.0,0.03333333333333333,0.13333333333333333,1.6333333333333333,13.666666666666666,
