run_id,paired_group,pair_group_id,comparison_arm,campaign,model,variant,variant_name,kem_level,target_prr,mean_bad_burst,p_gb,p_bg,forced_loss,forced_loss_mode,forced_loss_layer,forced_loss_after_radio_channel,forced_loss_source_id,forced_loss_destination_id,forced_loss_target_tag,forced_loss_last_sequence,rfrag_fragment_size,seed,repetition,timeout_s,mac_max_retries,max_application_retries,data_origin
A-kem512-fixed-prr1p00-rep24-seed200024-v1,A-kem512-fixed-prr1p00-rep24-seed200024,A-kem512-fixed-prr1p00-rep24-seed200024,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200024,24,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep24-seed200024-v2,A-kem512-fixed-prr1p00-rep24-seed200024,A-kem512-fixed-prr1p00-rep24-seed200024,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200024,24,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep25-seed200025-v1,A-kem512-fixed-prr1p00-rep25-seed200025,A-kem512-fixed-prr1p00-rep25-seed200025,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200025,25,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep25-seed200025-v2,A-kem512-fixed-prr1p00-rep25-seed200025,A-kem512-fixed-prr1p00-rep25-seed200025,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200025,25,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep26-seed200026-v1,A-kem512-fixed-prr1p00-rep26-seed200026,A-kem512-fixed-prr1p00-rep26-seed200026,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200026,26,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep26-seed200026-v2,A-kem512-fixed-prr1p00-rep26-seed200026,A-kem512-fixed-prr1p00-rep26-seed200026,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200026,26,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep27-seed200027-v1,A-kem512-fixed-prr1p00-rep27-seed200027,A-kem512-fixed-prr1p00-rep27-seed200027,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200027,27,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep27-seed200027-v2,A-kem512-fixed-prr1p00-rep27-seed200027,A-kem512-fixed-prr1p00-rep27-seed200027,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200027,27,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep28-seed200028-v1,A-kem512-fixed-prr1p00-rep28-seed200028,A-kem512-fixed-prr1p00-rep28-seed200028,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200028,28,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep28-seed200028-v2,A-kem512-fixed-prr1p00-rep28-seed200028,A-kem512-fixed-prr1p00-rep28-seed200028,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200028,28,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep29-seed200029-v1,A-kem512-fixed-prr1p00-rep29-seed200029,A-kem512-fixed-prr1p00-rep29-seed200029,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200029,29,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep29-seed200029-v2,A-kem512-fixed-prr1p00-rep29-seed200029,A-kem512-fixed-prr1p00-rep29-seed200029,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200029,29,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep30-seed200030-v1,A-kem512-fixed-prr1p00-rep30-seed200030,A-kem512-fixed-prr1p00-rep30-seed200030,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200030,30,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep30-seed200030-v2,A-kem512-fixed-prr1p00-rep30-seed200030,A-kem512-fixed-prr1p00-rep30-seed200030,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200030,30,240,0,0,COOJA_SIMULATION
B-kem512-fixed-prr1p00-loss1-rep01-seed200001-v3,B-kem512-fixed-prr1p00-loss1-rep01-seed200001,B-kem512-fixed-prr1p00-loss1-rep01-seed200001,V1,B_V1_V2_FIRST_LOSS,fixed,3,V1_RFRAG_INITIAL_FINAL_ACK,512,1.0,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,200001,1,360,0,0,COOJA_SIMULATION
B-kem512-fixed-prr1p00-loss1-rep01-seed200001-v4,B-kem512-fixed-prr1p00-loss1-rep01-seed200001,B-kem512-fixed-prr1p00-loss1-rep01-seed200001,V2,B_V1_V2_FIRST_LOSS,fixed,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,1.0,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,200001,1,360,0,1,COOJA_SIMULATION
B-kem512-fixed-prr1p00-loss1-rep02-seed200002-v3,B-kem512-fixed-prr1p00-loss1-rep02-seed200002,B-kem512-fixed-prr1p00-loss1-rep02-seed200002,V1,B_V1_V2_FIRST_LOSS,fixed,3,V1_RFRAG_INITIAL_FINAL_ACK,512,1.0,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,200002,2,360,0,0,COOJA_SIMULATION
B-kem512-fixed-prr1p00-loss1-rep02-seed200002-v4,B-kem512-fixed-prr1p00-loss1-rep02-seed200002,B-kem512-fixed-prr1p00-loss1-rep02-seed200002,V2,B_V1_V2_FIRST_LOSS,fixed,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,1.0,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,200002,2,360,0,1,COOJA_SIMULATION
B-kem512-fixed-prr1p00-loss1-rep03-seed200003-v3,B-kem512-fixed-prr1p00-loss1-rep03-seed200003,B-kem512-fixed-prr1p00-loss1-rep03-seed200003,V1,B_V1_V2_FIRST_LOSS,fixed,3,V1_RFRAG_INITIAL_FINAL_ACK,512,1.0,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,200003,3,360,0,0,COOJA_SIMULATION
B-kem512-fixed-prr1p00-loss1-rep03-seed200003-v4,B-kem512-fixed-prr1p00-loss1-rep03-seed200003,B-kem512-fixed-prr1p00-loss1-rep03-seed200003,V2,B_V1_V2_FIRST_LOSS,fixed,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,1.0,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,200003,3,360,0,1,COOJA_SIMULATION
B-kem512-fixed-prr1p00-loss1-rep04-seed200004-v3,B-kem512-fixed-prr1p00-loss1-rep04-seed200004,B-kem512-fixed-prr1p00-loss1-rep04-seed200004,V1,B_V1_V2_FIRST_LOSS,fixed,3,V1_RFRAG_INITIAL_FINAL_ACK,512,1.0,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,200004,4,360,0,0,COOJA_SIMULATION
B-kem512-fixed-prr1p00-loss1-rep04-seed200004-v4,B-kem512-fixed-prr1p00-loss1-rep04-seed200004,B-kem512-fixed-prr1p00-loss1-rep04-seed200004,V2,B_V1_V2_FIRST_LOSS,fixed,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,1.0,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,200004,4,360,0,1,COOJA_SIMULATION
B-kem512-fixed-prr1p00-loss1-rep05-seed200005-v3,B-kem512-fixed-prr1p00-loss1-rep05-seed200005,B-kem512-fixed-prr1p00-loss1-rep05-seed200005,V1,B_V1_V2_FIRST_LOSS,fixed,3,V1_RFRAG_INITIAL_FINAL_ACK,512,1.0,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,200005,5,360,0,0,COOJA_SIMULATION
B-kem512-fixed-prr1p00-loss1-rep05-seed200005-v4,B-kem512-fixed-prr1p00-loss1-rep05-seed200005,B-kem512-fixed-prr1p00-loss1-rep05-seed200005,V2,B_V1_V2_FIRST_LOSS,fixed,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,1.0,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,200005,5,360,0,1,COOJA_SIMULATION
B-kem512-fixed-prr1p00-loss1-rep06-seed200006-v3,B-kem512-fixed-prr1p00-loss1-rep06-seed200006,B-kem512-fixed-prr1p00-loss1-rep06-seed200006,V1,B_V1_V2_FIRST_LOSS,fixed,3,V1_RFRAG_INITIAL_FINAL_ACK,512,1.0,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,200006,6,360,0,0,COOJA_SIMULATION
B-kem512-fixed-prr1p00-loss1-rep06-seed200006-v4,B-kem512-fixed-prr1p00-loss1-rep06-seed200006,B-kem512-fixed-prr1p00-loss1-rep06-seed200006,V2,B_V1_V2_FIRST_LOSS,fixed,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,1.0,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,200006,6,360,0,1,COOJA_SIMULATION
B-kem512-fixed-prr1p00-loss1-rep07-seed200007-v3,B-kem512-fixed-prr1p00-loss1-rep07-seed200007,B-kem512-fixed-prr1p00-loss1-rep07-seed200007,V1,B_V1_V2_FIRST_LOSS,fixed,3,V1_RFRAG_INITIAL_FINAL_ACK,512,1.0,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,200007,7,360,0,0,COOJA_SIMULATION
B-kem512-fixed-prr1p00-loss1-rep07-seed200007-v4,B-kem512-fixed-prr1p00-loss1-rep07-seed200007,B-kem512-fixed-prr1p00-loss1-rep07-seed200007,V2,B_V1_V2_FIRST_LOSS,fixed,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,1.0,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,200007,7,360,0,1,COOJA_SIMULATION
B-kem512-fixed-prr1p00-loss1-rep08-seed200008-v3,B-kem512-fixed-prr1p00-loss1-rep08-seed200008,B-kem512-fixed-prr1p00-loss1-rep08-seed200008,V1,B_V1_V2_FIRST_LOSS,fixed,3,V1_RFRAG_INITIAL_FINAL_ACK,512,1.0,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,200008,8,360,0,0,COOJA_SIMULATION
